,publication_year,journal_name,title,cited_count,country,university,author,tier
0,2023,The Routledge International Handbook of More-than-Human Studies,The 'shuffle of things' and the distribution of agency,0,Australia,Australian Academy of the Humanities,Bennett T.,
0,2023,Applied Catalysis A: General,Ozonation assisted synthesis of well-dispersed Pt on HY zeolite as highly efficient catalyst for deep hydrogenation of naphthalene,0,China,Taiyuan University of Technology,Liang Y.,Q1
1,2023,International Journal of Pharmaceutics,Lyotropic liquid crystalline phases: Drug delivery and biomedical applications,0,India,K.B. Institute of Pharmaceutical Education and Research,Chavda V.P.,Q1
2,2023,Applied Catalysis A: General,Noble metals-deposited TiO<inf>2</inf> photocatalysts for photoreduction of CO<inf>2</inf>: Exploration of surface chemistry and a reflection on the importance of wavelength dependence,0,Hungary,Szegedi Tudományegyetem (SZTE),Yadav M.,Q1
3,2023,Applied Catalysis A: General,High-performance addition reaction of methyl acrylate and methanol for the preparation of Methyl 3-methoxypropionate on NiO/MgO catalyst,0,China,Qingdao Institute of Bioenergy and Bioprocess Technology,Li X.,Q1
4,2023,International Journal of Pharmaceutics,Manufacturing dexamethasone intravitreal implants: Process control and critical quality attributes,0,United States,The University of Texas at Austin,Costello M.A.,Q1
0,2023,Applied Catalysis A: General,Ozonation assisted synthesis of well-dispersed Pt on HY zeolite as highly efficient catalyst for deep hydrogenation of naphthalene,0,China,Taiyuan University of Technology,Liang Y.,Q1
1,2023,International Journal of Pharmaceutics,Lyotropic liquid crystalline phases: Drug delivery and biomedical applications,0,India,K.B. Institute of Pharmaceutical Education and Research,Chavda V.P.,Q1
2,2023,Applied Catalysis A: General,Noble metals-deposited TiO<inf>2</inf> photocatalysts for photoreduction of CO<inf>2</inf>: Exploration of surface chemistry and a reflection on the importance of wavelength dependence,0,Hungary,Szegedi Tudományegyetem (SZTE),Yadav M.,Q1
3,2023,Applied Catalysis A: General,High-performance addition reaction of methyl acrylate and methanol for the preparation of Methyl 3-methoxypropionate on NiO/MgO catalyst,0,China,Qingdao Institute of Bioenergy and Bioprocess Technology,Li X.,Q1
4,2023,International Journal of Pharmaceutics,Manufacturing dexamethasone intravitreal implants: Process control and critical quality attributes,0,United States,The University of Texas at Austin,Costello M.A.,Q1
0,2023,Applied Catalysis A: General,Ozonation assisted synthesis of well-dispersed Pt on HY zeolite as highly efficient catalyst for deep hydrogenation of naphthalene,0,China,Taiyuan University of Technology,Liang Y.,Q1
1,2023,International Journal of Pharmaceutics,Lyotropic liquid crystalline phases: Drug delivery and biomedical applications,0,India,K.B. Institute of Pharmaceutical Education and Research,Chavda V.P.,Q1
2,2023,Applied Catalysis A: General,Noble metals-deposited TiO<inf>2</inf> photocatalysts for photoreduction of CO<inf>2</inf>: Exploration of surface chemistry and a reflection on the importance of wavelength dependence,0,Hungary,Szegedi Tudományegyetem (SZTE),Yadav M.,Q1
3,2023,Applied Catalysis A: General,High-performance addition reaction of methyl acrylate and methanol for the preparation of Methyl 3-methoxypropionate on NiO/MgO catalyst,0,China,Qingdao Institute of Bioenergy and Bioprocess Technology,Li X.,Q1
4,2023,International Journal of Pharmaceutics,Manufacturing dexamethasone intravitreal implants: Process control and critical quality attributes,0,United States,The University of Texas at Austin,Costello M.A.,Q1
0,2023,Applied Catalysis A: General,Ozonation assisted synthesis of well-dispersed Pt on HY zeolite as highly efficient catalyst for deep hydrogenation of naphthalene,0,China,Taiyuan University of Technology,Liang Y.,Q1
1,2023,International Journal of Pharmaceutics,Lyotropic liquid crystalline phases: Drug delivery and biomedical applications,0,India,K.B. Institute of Pharmaceutical Education and Research,Chavda V.P.,Q1
2,2023,Applied Catalysis A: General,Noble metals-deposited TiO<inf>2</inf> photocatalysts for photoreduction of CO<inf>2</inf>: Exploration of surface chemistry and a reflection on the importance of wavelength dependence,0,Hungary,Szegedi Tudományegyetem (SZTE),Yadav M.,Q1
3,2023,Applied Catalysis A: General,High-performance addition reaction of methyl acrylate and methanol for the preparation of Methyl 3-methoxypropionate on NiO/MgO catalyst,0,China,Qingdao Institute of Bioenergy and Bioprocess Technology,Li X.,Q1
4,2023,International Journal of Pharmaceutics,Manufacturing dexamethasone intravitreal implants: Process control and critical quality attributes,0,United States,The University of Texas at Austin,Costello M.A.,Q1
0,2023,Applied Catalysis A: General,Ozonation assisted synthesis of well-dispersed Pt on HY zeolite as highly efficient catalyst for deep hydrogenation of naphthalene,0,China,Taiyuan University of Technology,Liang Y.,Q1
1,2023,International Journal of Pharmaceutics,Lyotropic liquid crystalline phases: Drug delivery and biomedical applications,0,India,K.B. Institute of Pharmaceutical Education and Research,Chavda V.P.,Q1
2,2023,Applied Catalysis A: General,Noble metals-deposited TiO<inf>2</inf> photocatalysts for photoreduction of CO<inf>2</inf>: Exploration of surface chemistry and a reflection on the importance of wavelength dependence,0,Hungary,Szegedi Tudományegyetem (SZTE),Yadav M.,Q1
3,2023,Applied Catalysis A: General,High-performance addition reaction of methyl acrylate and methanol for the preparation of Methyl 3-methoxypropionate on NiO/MgO catalyst,0,China,Qingdao Institute of Bioenergy and Bioprocess Technology,Li X.,Q1
4,2023,International Journal of Pharmaceutics,Manufacturing dexamethasone intravitreal implants: Process control and critical quality attributes,0,United States,The University of Texas at Austin,Costello M.A.,Q1
0,2023,Applied Catalysis A: General,Ozonation assisted synthesis of well-dispersed Pt on HY zeolite as highly efficient catalyst for deep hydrogenation of naphthalene,0,China,Taiyuan University of Technology,Liang Y.,Q1
1,2023,International Journal of Pharmaceutics,Lyotropic liquid crystalline phases: Drug delivery and biomedical applications,0,India,K.B. Institute of Pharmaceutical Education and Research,Chavda V.P.,Q1
2,2023,Applied Catalysis A: General,Noble metals-deposited TiO<inf>2</inf> photocatalysts for photoreduction of CO<inf>2</inf>: Exploration of surface chemistry and a reflection on the importance of wavelength dependence,0,Hungary,Szegedi Tudományegyetem (SZTE),Yadav M.,Q1
3,2023,Applied Catalysis A: General,High-performance addition reaction of methyl acrylate and methanol for the preparation of Methyl 3-methoxypropionate on NiO/MgO catalyst,0,China,Qingdao Institute of Bioenergy and Bioprocess Technology,Li X.,Q1
4,2023,International Journal of Pharmaceutics,Manufacturing dexamethasone intravitreal implants: Process control and critical quality attributes,0,United States,The University of Texas at Austin,Costello M.A.,Q1
0,2023,Applied Catalysis A: General,Ozonation assisted synthesis of well-dispersed Pt on HY zeolite as highly efficient catalyst for deep hydrogenation of naphthalene,0,China,Taiyuan University of Technology,Liang Y.,Q1
1,2023,International Journal of Pharmaceutics,Lyotropic liquid crystalline phases: Drug delivery and biomedical applications,0,India,K.B. Institute of Pharmaceutical Education and Research,Chavda V.P.,Q1
2,2023,Applied Catalysis A: General,Noble metals-deposited TiO<inf>2</inf> photocatalysts for photoreduction of CO<inf>2</inf>: Exploration of surface chemistry and a reflection on the importance of wavelength dependence,0,Hungary,Szegedi Tudományegyetem (SZTE),Yadav M.,Q1
3,2023,Applied Catalysis A: General,High-performance addition reaction of methyl acrylate and methanol for the preparation of Methyl 3-methoxypropionate on NiO/MgO catalyst,0,China,Qingdao Institute of Bioenergy and Bioprocess Technology,Li X.,Q1
4,2023,International Journal of Pharmaceutics,Manufacturing dexamethasone intravitreal implants: Process control and critical quality attributes,0,United States,The University of Texas at Austin,Costello M.A.,Q1
0,2023,Applied Catalysis A: General,Ozonation assisted synthesis of well-dispersed Pt on HY zeolite as highly efficient catalyst for deep hydrogenation of naphthalene,0,China,Taiyuan University of Technology,Liang Y.,Q1
1,2023,International Journal of Pharmaceutics,Lyotropic liquid crystalline phases: Drug delivery and biomedical applications,0,India,K.B. Institute of Pharmaceutical Education and Research,Chavda V.P.,Q1
2,2023,Applied Catalysis A: General,Noble metals-deposited TiO<inf>2</inf> photocatalysts for photoreduction of CO<inf>2</inf>: Exploration of surface chemistry and a reflection on the importance of wavelength dependence,0,Hungary,Szegedi Tudományegyetem (SZTE),Yadav M.,Q1
3,2023,Applied Catalysis A: General,High-performance addition reaction of methyl acrylate and methanol for the preparation of Methyl 3-methoxypropionate on NiO/MgO catalyst,0,China,Qingdao Institute of Bioenergy and Bioprocess Technology,Li X.,Q1
4,2023,International Journal of Pharmaceutics,Manufacturing dexamethasone intravitreal implants: Process control and critical quality attributes,0,United States,The University of Texas at Austin,Costello M.A.,Q1
0,2023,Applied Catalysis A: General,Ozonation assisted synthesis of well-dispersed Pt on HY zeolite as highly efficient catalyst for deep hydrogenation of naphthalene,0,China,Taiyuan University of Technology,Liang Y.,Q1
1,2023,International Journal of Pharmaceutics,Lyotropic liquid crystalline phases: Drug delivery and biomedical applications,0,India,K.B. Institute of Pharmaceutical Education and Research,Chavda V.P.,Q1
2,2023,Applied Catalysis A: General,Noble metals-deposited TiO<inf>2</inf> photocatalysts for photoreduction of CO<inf>2</inf>: Exploration of surface chemistry and a reflection on the importance of wavelength dependence,0,Hungary,Szegedi Tudományegyetem (SZTE),Yadav M.,Q1
3,2023,Applied Catalysis A: General,High-performance addition reaction of methyl acrylate and methanol for the preparation of Methyl 3-methoxypropionate on NiO/MgO catalyst,0,China,Qingdao Institute of Bioenergy and Bioprocess Technology,Li X.,Q1
4,2023,International Journal of Pharmaceutics,Manufacturing dexamethasone intravitreal implants: Process control and critical quality attributes,0,United States,The University of Texas at Austin,Costello M.A.,Q1
0,2023,Applied Catalysis A: General,Ozonation assisted synthesis of well-dispersed Pt on HY zeolite as highly efficient catalyst for deep hydrogenation of naphthalene,0,China,Taiyuan University of Technology,Liang Y.,Q1
1,2023,International Journal of Pharmaceutics,Lyotropic liquid crystalline phases: Drug delivery and biomedical applications,0,India,K.B. Institute of Pharmaceutical Education and Research,Chavda V.P.,Q1
2,2023,Applied Catalysis A: General,Noble metals-deposited TiO<inf>2</inf> photocatalysts for photoreduction of CO<inf>2</inf>: Exploration of surface chemistry and a reflection on the importance of wavelength dependence,0,Hungary,Szegedi Tudományegyetem (SZTE),Yadav M.,Q1
3,2023,Applied Catalysis A: General,High-performance addition reaction of methyl acrylate and methanol for the preparation of Methyl 3-methoxypropionate on NiO/MgO catalyst,0,China,Qingdao Institute of Bioenergy and Bioprocess Technology,Li X.,Q1
4,2023,International Journal of Pharmaceutics,Manufacturing dexamethasone intravitreal implants: Process control and critical quality attributes,0,United States,The University of Texas at Austin,Costello M.A.,Q1
0,2023,Applied Catalysis A: General,Ozonation assisted synthesis of well-dispersed Pt on HY zeolite as highly efficient catalyst for deep hydrogenation of naphthalene,0,China,Taiyuan University of Technology,Liang Y.,Q1
